Actual,Predicted
5394.56,5394.559999999999
1976.24,1976.2399999999984
2554.17,2554.170000000002
5538.33,5538.329999999999
4045.92,4045.9199999999983
4132.52,4132.52
1433.8,1433.8000000000006
187.47,187.47000000000116
1444.72,1444.7200000000012
2265.86,2265.859999999999
80.35,80.34999999999945
4788.64,4788.640000000002
4129.32,4129.3200000000015
6333.91,6333.909999999996
6410.13,6410.129999999999
6764.27,6764.27
2384.23,2384.2300000000023
3220.66,3220.6599999999976
6387.9800000000005,6387.980000000002
1805.52,1805.5199999999977
4302.29,4302.29
340.27,340.2700000000027
1641.4499999999998,1641.4499999999978
4138.18,4138.180000000001
3420.19,3420.1899999999987
10257.12,10257.119999999999
1626.97,1626.970000000004
3294.01,3294.0100000000007
3664.82,3664.8200000000006
815.59,815.5900000000029
315.89,315.8899999999994
6150.1900000000005,6150.189999999999
6743.2,6743.199999999995
6176.83,6176.83
1297.72,1297.7200000000037
798.83,798.8300000000022
3334.35,3334.350000000002
5913.81,5913.81
6874.3,6874.300000000001
796.9,796.8999999999996
3371.6,3371.5999999999985
3274.83,3274.830000000001
791.19,791.1900000000005
990.55,990.5500000000011
3229.34,3229.339999999997
3666.71,3666.709999999998
2297.5,2297.499999999998
844.83,844.8300000000031
7220.129999999999,7220.130000000001
537.62,537.6199999999994
4247.26,4247.26
5782.69,5782.6900000000005
1581.87,1581.8700000000038
5595.67,5595.669999999998
1715.1,1715.1000000000017
2528.26,2528.2600000000007
534.9,534.9000000000015
3216.5,3216.4999999999986
2806.54,2806.5400000000013
4216.15,4216.15
507.53,507.5299999999984
2167.08,2167.079999999999
3393.16,3393.159999999999
5480.46,5480.459999999998
5134.629999999999,5134.630000000003
674.32,674.3200000000006
1235.15,1235.1499999999987
5068.98,5068.98
5698.4,5698.4000000000015
1904.83,1904.830000000001
1929.57,1929.569999999999
1235.15,1235.1499999999978
2584.25,2584.2500000000027
4773.8,4773.799999999998
3216.5,3216.5
10293.63,10293.630000000001
6871.88,6871.880000000001
577.59,577.5900000000001
572.42,572.4199999999996
7620.83,7620.829999999998
1805.9,1805.9000000000003
1773.57,1773.5700000000002
2757.0,2757.000000000002
6838.08,6838.080000000001
11427.679999999998,11427.679999999997
6331.09,6331.09
7652.030000000001,7652.029999999999
2223.27,2223.269999999997
4769.59,4769.589999999999
3371.6,3371.599999999999
7120.71,7120.7099999999955
1415.89,1415.890000000003
2339.58,2339.5800000000004
207.5,207.49999999999955
5504.87,5504.869999999999
9288.93,9288.93
2966.2200000000003,2966.2199999999984
2956.74,2956.7400000000025
1805.9,1805.9000000000005
6402.790000000001,6402.790000000001
4882.61,4882.610000000001
178.07,178.07000000000153
247.03,247.02999999999884
3305.43,3305.43
2588.1600000000003,2588.159999999999
20.75,20.750000000000455
1460.68,1460.68
1838.0,1838.0000000000014
6269.54,6269.539999999999
1235.15,1235.1499999999971
4720.24,4720.239999999998
1412.0300000000002,1412.0300000000013
950.83,950.8300000000054
1838.0,1838.0000000000014
3530.99,3530.990000000002
4284.44,4284.44
83.0,83.00000000000136
1864.1,1864.1000000000008
927.92,927.9200000000014
927.92,927.9199999999996
1235.15,1235.1499999999971
1328.0,1327.9999999999989
531.76,531.7599999999993
4802.570000000001,4802.5700000000015
169.94,169.93999999999915
534.33,534.3299999999999
1427.5300000000002,1427.5300000000016
8453.63,8453.629999999997
5524.78,5524.779999999998
3572.54,3572.540000000001
5068.98,5068.98
4718.46,4718.459999999999
5992.63,5992.630000000003
4146.63,4146.630000000001
3025.99,3025.989999999998
2589.88,2589.880000000003
1789.69,1789.6899999999978
674.32,674.3200000000011
2205.39,2205.390000000002
4091.04,4091.040000000001
2632.67,2632.6700000000023
2262.13,2262.1300000000033
4236.160000000001,4236.160000000001
1918.22,1918.2200000000028
127.11,127.11000000000013
11495.88,11495.879999999997
786.41,786.4100000000008
1511.05,1511.050000000004
